STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:12815,ORLANDO INTERNATIONAL AIRPORT FL US,27.4,28.4339,-81.325,2017-01-01 00:53,FM-15,CLR:00,10.00,,59,15.0,57,13.8,55,12.8,87,3,150,,30.07,8,,30.17,0.00,30.18,,,,,,,,,,0718,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12815,ORLANDO INTERNATIONAL AIRPORT FL US,27.4,28.4339,-81.325,2017-01-01 01:53,FM-15,FEW:02 50,9.00,,59,15.0,57,14.1,56,13.3,90,0,000,,30.06,,,30.17,0.00,30.17,,,,,,,,,,0718,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12815,ORLANDO INTERNATIONAL AIRPORT FL US,27.4,28.4339,-81.325,2017-01-01 02:53,FM-15,CLR:00,7.00,,56,13.3,55,12.7,54,12.2,93,0,000,,30.06,,,30.17,0.00,30.17,,,,,,,,,,0718,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12815,ORLANDO INTERNATIONAL AIRPORT FL US,27.4,28.4339,-81.325,2017-01-01 03:53,FM-15,SCT:04 35,7.00,MI:1 FG:2 |FG:31 |FG:12,54,12.2,53,11.9,53,11.7,97,0,000,,30.06,5,,30.17,0.00,30.17,,,,,,,,,,0718,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12815,ORLANDO INTERNATIONAL AIRPORT FL US,27.4,28.4339,-81.325,2017-01-01 04:53,FM-15,FEW:02 39,8.00,,57,13.9,56,13.3,55,12.8,93,3,080,,30.05,,,30.15,0.00,30.16,,,,,,,,,,0718,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12815,ORLANDO INTERNATIONAL AIRPORT FL US,27.4,28.4339,-81.325,2017-01-01 05:53,FM-15,CLR:00,8.00,MI:1 FG:2 ||FG:12,57,13.9,56,13.3,55,12.8,93,0,000,,30.05,,,30.15,0.00,30.16,,,,,,,,,,0718,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12815,ORLANDO INTERNATIONAL AIRPORT FL US,27.4,28.4339,-81.325,2017-01-01 06:53,FM-15,FEW:02 35,10.00,MI:1 FG:2 |FG:31 |FG:12,54,12.2,53,11.6,52,11.1,93,3,110,,30.06,3,,30.17,0.00,30.17,,,,,,,,,,0718,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12815,ORLANDO INTERNATIONAL AIRPORT FL US,27.4,28.4339,-81.325,2017-01-01 07:53,FM-15,FEW:02 35 FEW:02 110,10.00,MI:1 FG:2 |FG:31 |FG:12,56,13.3,55,12.7,54,12.2,93,7,150,,30.07,,,30.18,0.00,30.18,,,,,,,,,,0718,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12815,ORLANDO INTERNATIONAL AIRPORT FL US,27.4,28.4339,-81.325,2017-01-01 08:53,FM-15,SCT:04 43,10.00,,64,17.8,61,16.1,59,15.0,84,6,160,,30.09,,,30.20,0.00,30.20,,,,,,,,,,0718,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12815,ORLANDO INTERNATIONAL AIRPORT FL US,27.4,28.4339,-81.325,2017-01-01 09:53,FM-15,SCT:04 42,10.00,,73,22.8,65,18.4,60,15.6,64,9,150,,30.11,3,,30.21,0.00,30.22,,,,,,,,,,0718,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
