Station: Global Means,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanDec,DecNov,DJF,MAM,JJA,SON
1880,-0.84,-0.41,-0.48,-0.67,-0.37,-0.5,-0.49,0.06,-0.51,-0.69,-0.53,-0.55,-0.5,***,***,-0.51,-0.31,-0.58
1881,-0.8,-0.63,-0.37,-0.28,-0.05,-1.15,-0.56,-0.28,-0.34,-0.47,-0.54,-0.13,-0.47,-0.5,-0.66,-0.23,-0.66,-0.45
1882,0.09,-0.14,-0.1,-0.62,-0.4,-1.05,-0.74,-0.14,-0.1,-0.35,-0.42,-0.7,-0.39,-0.34,-0.06,-0.37,-0.64,-0.29
1883,-0.71,-0.97,-0.48,-0.34,-0.38,0.41,-0.05,-0.2,-0.49,-0.6,-0.71,-0.43,-0.41,-0.43,-0.79,-0.4,0.05,-0.6
1884,-0.64,-0.37,-0.42,-0.96,-1.22,-0.86,-0.88,0.11,-0.41,-0.81,-0.85,-1.03,-0.7,-0.65,-0.48,-0.87,-0.54,-0.69
1885,-0.97,-0.83,-0.95,-0.91,-0.54,-0.98,-0.66,-0.21,-0.2,-0.08,-0.43,-0.03,-0.57,-0.65,-0.94,-0.8,-0.62,-0.24
1886,-0.8,-0.87,-0.72,-0.67,-0.61,-0.89,-0.44,-0.78,-0.47,-0.91,-0.54,-0.79,-0.71,-0.64,-0.57,-0.66,-0.7,-0.64
1887,-0.92,-1.32,-0.64,-0.89,-0.92,-0.72,-0.46,-0.31,-0.67,-0.61,-0.97,-0.71,-0.76,-0.77,-1.01,-0.81,-0.5,-0.75
1888,-0.78,-0.86,-0.95,-0.36,-0.81,-0.61,-0.4,-0.39,-0.46,-0.32,-0.1,-0.29,-0.53,-0.56,-0.78,-0.7,-0.47,-0.29
1889,-0.36,0.1,0.02,0.06,0.02,-0.32,-0.49,-0.65,-0.42,-0.27,-0.49,-0.47,-0.27,-0.26,-0.18,0.03,-0.48,-0.39
1890,-0.64,-0.66,-0.65,-0.56,-0.95,-0.61,-0.63,-0.65,-0.38,-0.3,-0.79,-0.55,-0.62,-0.61,-0.59,-0.72,-0.63,-0.49
1891,-1,-1.11,-0.55,-0.71,-0.52,-0.61,-0.78,-0.62,-0.55,-0.62,-0.61,-0.03,-0.64,-0.69,-0.89,-0.6,-0.67,-0.59
1892,-0.67,-0.34,-0.61,-0.74,-0.72,-0.63,-0.44,-0.32,-0.52,-0.39,-0.66,-0.64,-0.56,-0.5,-0.35,-0.69,-0.46,-0.52
1893,-1.48,-1.04,-0.62,-0.7,-0.8,-0.76,-0.25,-0.4,-0.34,-0.15,-0.18,-0.42,-0.6,-0.61,-1.05,-0.71,-0.47,-0.22
