Land-Ocean: Global Means,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanDec,DecNov,DJF,MAM,JJA,SON
1880,-0.29,-0.2,-0.18,-0.27,-0.14,-0.28,-0.23,-0.07,-0.16,-0.16,-0.18,-0.21,-0.2,***,***,-0.19,-0.19,-0.17
1881,-0.1,-0.13,0.01,-0.03,-0.04,-0.28,-0.06,-0.02,-0.08,-0.18,-0.25,-0.15,-0.11,-0.11,-0.15,-0.02,-0.12,-0.17
1882,0.1,0.1,0.03,-0.2,-0.17,-0.24,-0.1,0.04,0,-0.22,-0.2,-0.25,-0.09,-0.08,0.02,-0.11,-0.1,-0.14
1883,-0.33,-0.41,-0.17,-0.24,-0.25,-0.11,-0.08,-0.12,-0.18,-0.11,-0.19,-0.18,-0.2,-0.2,-0.33,-0.22,-0.1,-0.16
1884,-0.18,-0.11,-0.33,-0.35,-0.31,-0.37,-0.33,-0.25,-0.23,-0.21,-0.29,-0.28,-0.27,-0.26,-0.15,-0.33,-0.32,-0.24
1885,-0.64,-0.29,-0.23,-0.44,-0.41,-0.5,-0.28,-0.27,-0.19,-0.19,-0.22,-0.05,-0.31,-0.33,-0.41,-0.36,-0.35,-0.2
1886,-0.42,-0.45,-0.41,-0.29,-0.27,-0.39,-0.16,-0.31,-0.19,-0.25,-0.26,-0.25,-0.3,-0.29,-0.31,-0.32,-0.28,-0.23
1887,-0.66,-0.47,-0.31,-0.37,-0.33,-0.2,-0.18,-0.27,-0.19,-0.31,-0.25,-0.37,-0.33,-0.32,-0.46,-0.33,-0.22,-0.25
1888,-0.42,-0.41,-0.47,-0.28,-0.22,-0.2,-0.09,-0.11,-0.07,0.02,0,-0.12,-0.2,-0.22,-0.4,-0.32,-0.13,-0.02
1889,-0.2,0.15,0.05,0.05,-0.02,-0.11,-0.04,-0.17,-0.18,-0.22,-0.3,-0.3,-0.11,-0.09,-0.06,0.02,-0.11,-0.23
1890,-0.47,-0.48,-0.41,-0.37,-0.47,-0.27,-0.29,-0.36,-0.36,-0.22,-0.36,-0.3,-0.36,-0.36,-0.42,-0.42,-0.31,-0.31
1891,-0.46,-0.5,-0.14,-0.25,-0.17,-0.22,-0.22,-0.21,-0.13,-0.23,-0.37,-0.02,-0.24,-0.27,-0.42,-0.19,-0.21,-0.24
1892,-0.25,-0.14,-0.36,-0.34,-0.25,-0.19,-0.27,-0.19,-0.25,-0.16,-0.49,-0.28,-0.27,-0.24,-0.14,-0.32,-0.22,-0.3
1893,-0.68,-0.51,-0.23,-0.32,-0.34,-0.23,-0.14,-0.23,-0.18,-0.16,-0.16,-0.37,-0.3,-0.29,-0.49,-0.3,-0.2,-0.17
1894,-0.55,-0.31,-0.2,-0.41,-0.3,-0.43,-0.31,-0.28,-0.22,-0.16,-0.24,-0.21,-0.3,-0.31,-0.41,-0.3,-0.34,-0.21
1895,-0.43,-0.41,-0.28,-0.22,-0.22,-0.24,-0.16,-0.15,-0.01,-0.1,-0.15,-0.11,-0.21,-0.22,-0.35,-0.24,-0.19,-0.09
1896,-0.22,-0.14,-0.29,-0.32,-0.19,-0.13,-0.06,-0.09,-0.04,0.05,-0.15,-0.11,-0.14,-0.14,-0.16,-0.27,-0.09,-0.05
1897,-0.22,-0.18,-0.12,0,0,-0.12,-0.04,-0.03,-0.04,-0.09,-0.16,-0.24,-0.1,-0.09,-0.17,-0.04,-0.06,-0.09
1898,-0.06,-0.32,-0.55,-0.33,-0.35,-0.21,-0.22,-0.23,-0.18,-0.31,-0.35,-0.21,-0.28,-0.28,-0.21,-0.41,-0.22,-0.28
1899,-0.17,-0.39,-0.33,-0.2,-0.2,-0.25,-0.13,-0.04,-0.01,0,0.13,-0.26,-0.15,-0.15,-0.26,-0.24,-0.14,0.04
1900,-0.39,-0.07,0.03,-0.14,-0.05,-0.14,-0.08,-0.03,0.02,0.09,-0.12,-0.13,-0.08,-0.1,-0.24,-0.05,-0.08,0
1901,-0.28,-0.05,0.06,-0.05,-0.17,-0.1,-0.08,-0.12,-0.16,-0.29,-0.16,-0.28,-0.14,-0.13,-0.16,-0.05,-0.1,-0.2
1902,-0.19,-0.04,-0.29,-0.29,-0.32,-0.34,-0.25,-0.28,-0.21,-0.28,-0.36,-0.46,-0.28,-0.26,-0.17,-0.3,-0.29,-0.28
1903,-0.28,-0.07,-0.22,-0.4,-0.42,-0.45,-0.3,-0.43,-0.42,-0.41,-0.39,-0.48,-0.36,-0.35,-0.27,-0.35,-0.39,-0.41
1904,-0.64,-0.55,-0.46,-0.5,-0.5,-0.49,-0.48,-0.43,-0.46,-0.35,-0.16,-0.29,-0.44,-0.46,-0.55,-0.48,-0.47,-0.32
1905,-0.38,-0.58,-0.25,-0.37,-0.33,-0.32,-0.24,-0.2,-0.15,-0.24,-0.09,-0.21,-0.28,-0.29,-0.42,-0.32,-0.25,-0.16
1906,-0.31,-0.33,-0.15,-0.03,-0.21,-0.22,-0.26,-0.18,-0.25,-0.2,-0.38,-0.18,-0.22,-0.23,-0.28,-0.13,-0.22,-0.28
1907,-0.43,-0.51,-0.23,-0.39,-0.46,-0.43,-0.36,-0.37,-0.32,-0.24,-0.51,-0.5,-0.4,-0.37,-0.37,-0.36,-0.39,-0.36
1908,-0.46,-0.35,-0.57,-0.46,-0.4,-0.39,-0.35,-0.45,-0.33,-0.43,-0.5,-0.49,-0.43,-0.43,-0.43,-0.48,-0.4,-0.42
1909,-0.7,-0.46,-0.52,-0.58,-0.53,-0.51,-0.43,-0.29,-0.37,-0.38,-0.31,-0.54,-0.47,-0.46,-0.55,-0.54,-0.41,-0.35
1910,-0.43,-0.42,-0.47,-0.38,-0.33,-0.36,-0.31,-0.34,-0.37,-0.39,-0.56,-0.69,-0.42,-0.41,-0.46,-0.4,-0.34,-0.44
1911,-0.63,-0.6,-0.62,-0.54,-0.51,-0.46,-0.41,-0.43,-0.38,-0.26,-0.2,-0.24,-0.44,-0.48,-0.64,-0.56,-0.43,-0.28
1912,-0.26,-0.13,-0.37,-0.19,-0.19,-0.25,-0.41,-0.52,-0.47,-0.55,-0.37,-0.42,-0.34,-0.33,-0.21,-0.25,-0.39,-0.46
1913,-0.42,-0.44,-0.43,-0.36,-0.45,-0.46,-0.35,-0.34,-0.34,-0.34,-0.18,-0.03,-0.34,-0.38,-0.43,-0.41,-0.38,-0.29
1914,0.02,-0.13,-0.22,-0.27,-0.2,-0.23,-0.24,-0.14,-0.13,-0.05,-0.2,-0.09,-0.16,-0.15,-0.05,-0.23,-0.2,-0.13
1915,-0.18,0.01,-0.09,0.08,-0.01,-0.15,-0.03,-0.15,-0.12,-0.22,-0.12,-0.25,-0.1,-0.09,-0.09,-0.01,-0.11,-0.16
1916,-0.18,-0.21,-0.31,-0.24,-0.26,-0.44,-0.34,-0.26,-0.29,-0.27,-0.4,-0.77,-0.33,-0.29,-0.21,-0.27,-0.35,-0.32
1917,-0.46,-0.52,-0.46,-0.37,-0.48,-0.4,-0.22,-0.26,-0.18,-0.35,-0.27,-0.72,-0.39,-0.39,-0.58,-0.43,-0.29,-0.26
1918,-0.42,-0.3,-0.18,-0.38,-0.36,-0.27,-0.2,-0.25,-0.13,-0.03,-0.15,-0.3,-0.25,-0.28,-0.48,-0.31,-0.24,-0.1
1919,-0.21,-0.19,-0.24,-0.16,-0.19,-0.27,-0.2,-0.18,-0.16,-0.15,-0.28,-0.34,-0.22,-0.21,-0.23,-0.2,-0.22,-0.2
1920,-0.14,-0.22,-0.07,-0.25,-0.24,-0.32,-0.31,-0.28,-0.19,-0.28,-0.32,-0.46,-0.26,-0.25,-0.23,-0.19,-0.3,-0.26
1921,-0.03,-0.2,-0.27,-0.35,-0.35,-0.3,-0.15,-0.23,-0.16,-0.05,-0.15,-0.18,-0.2,-0.23,-0.23,-0.32,-0.23,-0.12
1922,-0.34,-0.43,-0.12,-0.2,-0.33,-0.32,-0.25,-0.3,-0.27,-0.32,-0.16,-0.16,-0.27,-0.27,-0.32,-0.22,-0.29,-0.25
1923,-0.26,-0.36,-0.31,-0.37,-0.32,-0.22,-0.28,-0.28,-0.26,-0.12,0.04,-0.05,-0.23,-0.24,-0.26,-0.34,-0.26,-0.11
1924,-0.23,-0.26,-0.11,-0.34,-0.18,-0.27,-0.26,-0.34,-0.29,-0.35,-0.22,-0.41,-0.27,-0.24,-0.18,-0.21,-0.29,-0.29
1925,-0.33,-0.33,-0.22,-0.24,-0.29,-0.32,-0.29,-0.18,-0.13,-0.16,0.05,0.11,-0.19,-0.24,-0.36,-0.25,-0.26,-0.08
1926,0.2,0.08,0.13,-0.14,-0.23,-0.24,-0.2,-0.1,-0.1,-0.11,-0.05,-0.3,-0.09,-0.05,0.13,-0.08,-0.18,-0.09
1927,-0.28,-0.2,-0.37,-0.3,-0.24,-0.27,-0.13,-0.18,-0.05,-0.01,-0.03,-0.35,-0.2,-0.2,-0.26,-0.3,-0.19,-0.03
1928,-0.02,-0.11,-0.28,-0.28,-0.29,-0.41,-0.21,-0.25,-0.19,-0.18,-0.09,-0.2,-0.21,-0.22,-0.16,-0.28,-0.29,-0.15
1929,-0.46,-0.6,-0.33,-0.4,-0.38,-0.43,-0.33,-0.29,-0.24,-0.15,-0.14,-0.55,-0.36,-0.33,-0.42,-0.37,-0.35,-0.17
1930,-0.29,-0.24,-0.08,-0.26,-0.25,-0.19,-0.16,-0.1,-0.11,-0.08,0.14,-0.09,-0.14,-0.18,-0.36,-0.2,-0.15,-0.02
1931,-0.1,-0.21,-0.06,-0.21,-0.21,-0.05,0.01,0,-0.06,0,-0.12,-0.1,-0.09,-0.09,-0.13,-0.16,-0.02,-0.06
1932,0.14,-0.17,-0.2,-0.07,-0.22,-0.3,-0.23,-0.23,-0.11,-0.09,-0.26,-0.22,-0.16,-0.15,-0.04,-0.16,-0.26,-0.16
1933,-0.34,-0.32,-0.28,-0.23,-0.25,-0.32,-0.2,-0.23,-0.26,-0.24,-0.31,-0.46,-0.29,-0.27,-0.29,-0.25,-0.25,-0.27
1934,-0.27,-0.04,-0.3,-0.26,-0.1,-0.13,-0.11,-0.1,-0.15,-0.1,-0.01,-0.08,-0.14,-0.17,-0.26,-0.22,-0.11,-0.09
1935,-0.37,0.12,-0.13,-0.34,-0.25,-0.22,-0.19,-0.17,-0.16,-0.07,-0.28,-0.21,-0.19,-0.18,-0.11,-0.24,-0.19,-0.17
1936,-0.29,-0.39,-0.23,-0.2,-0.16,-0.18,-0.05,-0.11,-0.05,-0.03,-0.04,-0.03,-0.15,-0.16,-0.29,-0.19,-0.12,-0.04
1937,-0.11,0.06,-0.16,-0.17,-0.06,-0.07,-0.04,0.04,0.15,0.1,0.1,-0.12,-0.02,-0.02,-0.03,-0.13,-0.02,0.12
1938,0,-0.03,0.06,0.05,-0.07,-0.17,-0.08,-0.04,0.04,0.11,0.02,-0.25,-0.03,-0.02,-0.05,0.01,-0.09,0.06
1939,-0.12,-0.11,-0.19,-0.12,-0.07,-0.08,-0.05,-0.04,0.01,-0.03,0.06,0.4,-0.03,-0.08,-0.16,-0.13,-0.06,0.01
