Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 08:00:19 2014

write_fb:
  file_in:       laser2a0003002.dat
  laser_period:  2a
  track:         0003
  cycle:         002
  file_out:      laser2a0003002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2003
  Month:                   10
  Day:                     21
  Hour:                    23
  Minute:                   4
  Doy:                    294
  record_count:          2793
  non_zero_count:        2780
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   84.515977  259.338410    0.075889    0.165850
   84.517046  259.326623    0.070876    0.154894
   84.518114  259.314817    0.099312    0.217040
   84.519180  259.302992    0.221573    0.484232
   84.520245  259.291145    0.287226    0.656900
   84.521307  259.279276    0.193437    0.422743
   84.522369  259.267382    0.287561    0.660306
   84.523428  259.255459    0.288236    0.666781
   84.524486  259.243514    0.387784    1.603396
   84.525543  259.231547    0.605705    3.653573
   84.526599  259.219558    0.466059    2.340003
   84.527653  259.207541    0.234154    0.511727
   84.528707  259.195514    0.244931    0.535279
   84.529759  259.183481    0.312976    0.900285
   84.530811  259.171453    0.423260    1.937895
   84.531863  259.159446    0.285608    0.643076
   84.532914  259.147444    0.531177    2.953361
   84.533965  259.135447    0.639659    3.974013
   84.535017  259.123454    0.579789    3.410919
   84.536070  259.111459    0.559056    3.216001
   84.537124  259.099470    0.471438    2.391879
   84.538179  259.087485    0.575709    3.372921
   84.539236  259.075509    0.649722    4.069306
   84.540295  259.063541    0.630471    3.888341
   84.541356  259.051581    0.557493    3.201933
   84.542418  259.039632    0.706511    4.603924
   84.543481  259.027695    0.195801    0.427909
   84.544545  259.015775    0.449100    2.182623
   84.545608  259.003866    0.850168    5.955732
   84.546672  258.991967    0.576881    3.384960
   84.547735  258.980079    0.673324    4.292357
   84.548797  258.968209    0.622561    3.814932
   84.549859  258.956340    0.592730    3.534427
   84.550921  258.944466    0.622747    3.816942
   84.551983  258.932578    0.601864    3.620612
   84.553046  258.920663    0.513437    2.788872
   84.554108  258.908730    0.523831    2.886777
   84.555170  258.896777    0.248084    0.542170
   84.556231  258.884800    0.540174    3.040782
   84.557292  258.872792    0.446962    2.164032
   84.558350  258.860764    0.315786    0.930138
   84.559407  258.848717    0.474178    2.420316
   84.560462  258.836657    0.374229    1.480185
   84.561513  258.824591    0.373168    1.470331
   84.562563  258.812510    0.482376    2.497811
   84.563611  258.800414    0.582548    3.440292
   84.564657  258.788299    0.533023    2.974516
   84.565703  258.776162    0.618568    3.779400
   84.566749  258.764009    0.570601    3.328280
   84.567794  258.751840    0.644163    4.020433
   84.568840  258.739654    0.545212    3.089694
   84.569886  258.727443    0.506664    2.727186
   84.570933  258.715227    0.419619    1.908453
   84.571980  258.703015    0.584776    3.462270
   84.573027  258.690816    0.399857    1.722802
   84.574073  258.678651    0.637671    3.960128
   84.575119  258.666502    0.701293    4.558764
   84.576166  258.654367    0.581512    3.432071
   84.577214  258.642248    0.670253    4.267012
   84.578264  258.630143    0.708518    4.627118
   84.579315  258.618050    0.113111    0.247197
   84.580367  258.605966    0.541218    3.053519
   84.581419  258.593889    0.589835    3.511005
   84.582470  258.581817    0.301127    0.795152
   84.583522  258.569747    0.565192    3.279426
   84.584575  258.557679    0.593125    3.542331
   84.585628  258.545607    0.690843    4.461719
   84.586684  258.533530    0.642031    4.002649
   84.587740  258.521448    0.516454    2.821431
   84.588796  258.509360    0.540430    3.047104
   84.589852  258.497268    0.512395    2.783498
   84.590906  258.485174    0.360825    1.357747
   84.591960  258.473071    0.594063    3.552027
   84.593011  258.460954    0.530550    2.954662
   84.594061  258.448818    0.552897    3.165011
   84.595108  258.436660    0.396385    1.692779
   84.596154  258.424481    0.633068    3.919461
   84.597198  258.412281    0.474559    2.428439
   84.598240  258.400055    0.606893    3.673471
   84.599282  258.387794    0.252620    0.552083
   84.600322  258.375513    0.615153    3.751423
   84.601361  258.363217    0.503750    2.703545
   84.602400  258.350909    0.888394    6.322151
   84.603437  258.338597    0.603051    3.637956
   84.604475  258.326276    0.485623    2.533395
   84.605511  258.313950    0.758394    5.099573
   84.606548  258.301619    0.280581    0.613189
   84.607584  258.289286    0.587082    3.488234
   84.608621  258.276950    0.173019    0.378121
   84.609657  258.264613    0.108679    0.237510
   84.610695  258.252274    0.085216    0.186234
   84.611732  258.239928    0.186464    0.407504
   84.612771  258.227589    0.059516    0.130067
   84.613810  258.215260    0.032731    0.071531
   84.614851  258.202952    0.455288    2.249280
   84.615895  258.190681    0.647500    4.057606
   84.616940  258.178426    0.806582    5.554268
   84.617985  258.166182    0.731682    4.849792
   84.619032  258.153946    0.283789    0.636431
   84.620079  258.141710    0.927955    6.696441
   84.621127  258.129477    0.592255    3.538529
   84.622175  258.117244    0.305637    0.842341
   84.623223  258.105010    0.020475    0.044746
   84.624271  258.092774    0.419050    1.909498
   84.625318  258.080531    0.545875    3.102717
   84.626365  258.068280    0.366523    1.415618
   84.627410  258.056016    0.587814    3.497498
   84.628454  258.043735    0.741065    4.939310
   84.629497  258.031440    0.542729    3.073617
   84.630538  258.019132    0.657716    4.155468
   84.631578  258.006813    0.504244    2.711827
   84.632616  257.994485    0.542268    3.069660
   84.633652  257.982143    0.583270    3.455505
   84.634686  257.969783    0.616459    3.767850
   84.635718  257.957404    0.729332    4.829808
   84.636748  257.945004    0.634972    3.942251
   84.637777  257.932581    0.465458    2.347701
   84.638804  257.920134    0.793290    5.431856
   84.639831  257.907657    0.818428    5.668459
   84.640858  257.895137    0.778338    5.291453
   84.641885  257.882598    0.233109    0.509443
   84.642911  257.870046    0.437136    2.081901
   84.643938  257.857491    0.819232    5.676527
   84.644966  257.844940    0.535063    3.003380
   84.645993  257.832394    0.562440    3.261050
   84.647021  257.819861    0.327729    1.053175
