County,Population Total,Public supply,Water Use Total
Alachua,247336,204719,26.31
Baker,27115,5053,0.91
Bay,168852,152250,49.13
Bradford,28520,9026,1.62
Brevard,543376,516207,54.12
Broward,1748066,1742822,231.4
Calhoun,14625,4360,0.67
Charlotte,159978,135501,16.54
Citrus,141236,96040,13.94
Clay,190865,135514,11.13
Collier,321520,276508,53.17
Columbia,67531,24875,3.7
DeSoto,34862,12097,2.42
Dixie,16422,4950,0.67
Duval,864263,821050,122.14
Escambia,297619,284750,38.53
Flagler,95696,76557,8.7
Franklin,11549,10750,1.92
Gadsden,46389,31250,4.44
Gilchrist,16939,1725,0.23
Glades,12884,6700,0.92
Gulf,15863,14750,1.89
Hamilton,14799,6125,0.85
Hardee,27731,15918,1.48
Hendry,39140,26224,4.59
Hernando,172778,152217,19.77
Highlands,98786,81431,7.77
Hillsborough,1229226,1204641,116.16
Holmes,19927,6210,1.12
Indian River,138028,120084,14.78
Jackson,49746,17225,2.54
Jefferson,14761,5225,0.84
Lafayette,8870,1237,0.17
Lake,297052,240010,40.55
Lee,618754,525941,60.89
Leon,275487,232625,30.31
Levy,40801,12355,1.48
Liberty,8365,3350,0.5
Madison,19224,7500,1.39
Manatee,322833,317668,27.76
Marion,331298,200390,29.88
Martin,146318,122907,18.28
Miami-Dade,2496435,2463981,322.41
Monroe,73090,70897,16.7
Nassau,73314,35924,7.41
Okaloosa,180822,172750,21.7
Okeechobee,39996,24078,2.16
Orange,1145956,1050899,169.4
Osceola,268685,214948,34.92
Palm Beach,1320134,1203962,227.11
Pasco,464697,409863,45.97
Pinellas,916542,903710,90.1
Polk,602095,546725,67.37
Putnam,74364,13386,2.56
St. Johns,190039,152031,13.49
St. Lucie,277789,229176,27.5
Santa Rosa,151372,136750,16.76
Sarasota,379448,368065,35.55
Seminole,422718,405809,54.97
Sumter,93420,71653,15.86
Suwannee,41551,9625,1.14
Taylor,22570,11925,2.03
Union,15535,1897,0.38
Volusia,494593,455026,52.47
Wakulla,30776,12875,2.52
Walton,55043,52290,10.62
Washington,24896,8725,1.11
